id,neighborhood,category,name,street_address,city,state,zip,phone,website,hours,notes,full_address,latitude,longitude,geocode_provider,geocode_display_name,geocode_confidence_note,geocode_timestamp_utc
1,ALLSTON/BRIGHTON,FOOD PANTRIES,Allston-Brighton APAC,406 Cambridge St,Allston,MA,02134,(617) 783-1485,,"Mon - Fri, 10am - 2pm",,"406 Cambridge St, Allston, MA 02134",42.3548127,-71.133722,openstreetmap_nominatim,"Allston Brighton APAC, 406, Cambridge Street, Union Square, Allston, Boston, Suffolk County, Massachusetts, 02134, United States",Top Nominatim match,2026-02-21T22:24:28.462661+00:00
2,ALLSTON/BRIGHTON,FOOD PANTRIES,Allston-Brighton,404 Washington St,Brighton,MA,02135,(617) 254-4046,,"2nd & 4th Sat, 10am - 1pm",Congregational Church,"404 Washington St, Brighton, MA 02135",42.3488064,-71.1551466,openstreetmap_nominatim,"404, Washington Street, Brighton Center, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Top Nominatim match,2026-02-21T22:24:29.598394+00:00
2,ALLSTON/BRIGHTON,MEAL SITES,Allston-Brighton,404 Washington St,Brighton,MA,02135,(617) 254-4046,,Wed 6pm,Congregational Church | SNAP APPLICATION | ASSISTANCE,"404 Washington St, Brighton, MA 02135",42.3488064,-71.1551466,openstreetmap_nominatim,"404, Washington Street, Brighton Center, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Cached result,2026-02-21T22:24:30.603601+00:00
3,ALLSTON/BRIGHTON,FOOD PANTRIES,ABCD/Allston Brighton,640 Washington St,Brighton,MA,02135,(617) 903-3640,,,,"640 Washington St, Brighton, MA 02135",42.3506757,-71.1691307,openstreetmap_nominatim,"Presentation School Foundation (PSF) Community Center, 640, Washington Street, Oak Square, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Top Nominatim match,2026-02-21T22:24:30.679693+00:00
4,ALLSTON/BRIGHTON,MEAL SITES,ABCD Allston-Brighton NOC,"640 Washington St, Suite 203",Brighton,MA,02135,(617) 903-3640,,,FARMERS MARKETS | ACCEPTING SNAP/HIP,"640 Washington St, Suite 203, Brighton, MA 02135",,,openstreetmap_nominatim,,No match returned,2026-02-21T22:24:31.762063+00:00
5,ALLSTON/BRIGHTON,MEAL SITES,Oak Square Farmers Market,"Parking Lot, 640 Washington St",Brighton,MA,02135,,,"Wed 4 - 7pm, June 6 - Sept 26",Presentation School Foundation,"Parking Lot, 640 Washington St, Brighton, MA 02135",,,openstreetmap_nominatim,,No match returned,2026-02-21T22:24:32.847316+00:00
6,ALLSTON/BRIGHTON,SENIOR DINING SITES,Ethos Brighton Veronica B.,20 Chestnut Hill Ave,Boston,MA,02135,(617) 522-6700,,"Mon - Fri, 11:30am - 1pm",Smith Senior Ctr.,"20 Chestnut Hill Ave, Boston, MA 02135",42.3482251,-71.1532915,openstreetmap_nominatim,"20, Chestnut Hill Avenue, Brighton Center, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Top Nominatim match,2026-02-21T22:24:33.926541+00:00
7,ALLSTON/BRIGHTON,SENIOR DINING SITES,Ethos Brighton Covenant House,30 Washington St,Brighton,MA,02135,(617) 522-6700,,Tue 5:15 - 6:15pm,,"30 Washington St, Brighton, MA 02135",42.3428787,-71.1420706,openstreetmap_nominatim,"30, Washington Street, Aberdeen, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Top Nominatim match,2026-02-21T22:24:35.007435+00:00
8,ALLSTON/BRIGHTON,SENIOR DINING SITES,GBCGAC Brighton House,677 Cambridge St,Brighton,MA,02135,(617) 789-4289,,"Mon - Fri, 11am - 1pm",,"677 Cambridge St, Brighton, MA 02135",42.3510374,-71.1456285,openstreetmap_nominatim,"677, Cambridge Street, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States",Top Nominatim match,2026-02-21T22:24:36.106548+00:00
9,BACK BAY/FENWAY,FOOD PANTRIES,Friday Night Supper,351 Boylston St,Boston,MA,02116,(617) 536-7050,,,,"351 Boylston St, Boston, MA 02116",42.3520176,-71.0712834,openstreetmap_nominatim,"Arlington Street Church, 351, Boylston Street, Block A, Back Bay, Boston, Suffolk County, Massachusetts, 02116, United States",Top Nominatim match,2026-02-21T22:24:37.202908+00:00
